[00:00:31.520] 954205 7.03 Root/Context1 (FrameProfiler.cpp,142) | Root/string as json 2 (0.5 ms)
[00:00:31.684] 954227 11.23 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:31.755] 954236 15.09 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:31.767] 954237 11.71 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:32.520] 954346 7.01 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 3 frames dropped. Process: 0.4/0.677/3.3 ms, Frame: 1.3/7.093/15.1 ms, FPS: 140.993 (initial: 144.000). Nodes:
[00:00:32.520] 954346 7.03 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.2 ms)
[00:00:32.520] 954346 7.03 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:33.285] 954455 14.67 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:33.410] 954472 14.78 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:33.521] 954488 6.99 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 2 frames dropped. Process: 0.4/0.686/3.4 ms, Frame: 1.1/7.043/14.8 ms, FPS: 141.993 (initial: 144.000). Nodes:
[00:00:33.521] 954488 7.00 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.1 ms)
[00:00:33.521] 954488 7.01 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:33.521] 954488 7.01 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:34.165] 954579 12.33 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:34.488] 954625 8.85 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:34.521] 954630 7.04 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 2 frames dropped. Process: 0.4/0.680/3.5 ms, Frame: 1.0/7.043/14.3 ms, FPS: 141.987 (initial: 144.000). Nodes:
[00:00:34.521] 954630 7.06 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:34.521] 954630 7.07 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:34.613] 954642 16.23 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:34.758] 954662 14.84 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:34.803] 954667 18.88 Root/Context1 (Canvas.cpp,296) | Frames missed due to LAG: 2
[00:00:34.803] 954667 18.91 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
